review_title,review_rating,review_date,review_body,user_contributions
stylish luxury,50,Date of stay: July 2019,"My wife and I stayed 4 nights in July 19. All staff were friendly, professional and attentive. Room was comfortable and reasonably spacious. Cleaned to high standard. Great washroom facilities (plenty of space to actually put your wash stuff - too often overlooked). Breakfast was varied and all to high standard; v. good coffee, v. good poached eggs, and particularly liked the pastries (a local speciality). V. good restaurant service. Pool area on the roof was a bit space limited but not especially busy - hence served the purpose. But the main thing was the view from the restaurant and roof top pool area: Over the port area and city outskirts then Vesuvius in the distance to the left and scanning across the bay of Naples with Capri to the right. Spectacular (my photo's don't do…",50
"Lovely hotel, convenient location.",40,Date of stay: July 2019,We stayed for 2 nights at the Romeo Hotel and really enjoyed our stay. All the staff were very welcoming - and were happy to make suggestions to where we should visit in the short time we had in Naples. The rooms were beautiful and clean with evening turn-down service. Sadly we did not have time to experience the wellness centre. The pool area is quite small with the only sun loungers available (that I could see) are around the pool and are in shade on the afternoon. Buffet breakfast had a wide range of foods available and was very relaxed. We ate in the hotel restaurant on the first evening and had a very pleasant meal (sadly the michelin star restaurant was not open the evening we were there). The breakfast area has a clear view of Vesuvius (as seen on the hotel website) with…,73
Fornaggio with extra cheese,10,Date of stay: July 2019,"I love small boutique hotels, This hot lacks design, service and personality. Very poor service and reccomendations for dining. All in all really the worst. Very poor vibe with no relaxation. Chaotic mixr=ed materials throat the service. Absolute wort.",155
July 2019,50,Date of stay: July 2019,"Very welcome, clean, convenience location. Professional staff. Air-conditioned rooms and free WiFi throughout. Offers a continental or buffet breakfast. Definitely recommended to stay there. Vyacheslav",7
"Top Notch team, top notch hotel",50,Date of stay: July 2019,"Staff at front desk are impeccable, attentive, helpful, knowledgeable - all of them. The rooftop pool is welcome relief at the end of a long day. Rooms are spacious and well organized. Room service is prompt and reliable. Bravo.",2
"Excellent, great experience.",50,Date of stay: July 2019,"Loved it. Great location, we walked to the city center for dinner and back. The service was excellent and the breakfast top quality. Great location, close to all the meet points for my tours. Excellent staff, no problem finding an English speaker",1
Excellent Stay,40,Date of stay: July 2019,"Overall, the stay was great. Nice clean hotel. Service at breakfast and for evening drinks could be more attentive. For example, they seated 3 of us for breakfast at a table with only two settings, but did not set a third person. We had to get a setting ourselves from another table.",61
Hotel wonderful. Location not.,50,Date of stay: July 2019,I can’t say enough positive about the hotel and the service. The rooms and the common spaces are beautiful. However the location is far from ideal. Neighborhood is shabby and it was uncomfortable to walk around the area. The next time we would most likely stay in the Santa Lucia area.,1
Romeo Hotel Naples - Excellent Hotel & Service,50,Date of stay: July 2019,I have to say the Romeo Hotel is truly a 5 star hotel with 5 star service. It had all the WoW factors associated with Hyatt associated hotels. Staff really played their part to make our stay perfect. The hotel is in great condition with stunning views and facilities.,9
The Best Hotel in Naples,50,Date of stay: July 2019,"I have stayed and many hotels in Naples and by far my favorite is Romeo Hotel, across from the port, a beautiful, well kept modern building, adorned with exotic cactus, world class contemporary art and a Michelin star restaurant: Il Comandante. The rooms are exceedingly comfortable and many feature stunning views of Vesuvius and the Bay of Naples.",30
Great hotel in Naples,50,Date of stay: July 2019,A fabulous hotel with a great view of the bay. The location was great to tour Naples. Staff was helpful and nice. The Deluxe Harbor Suite was perfect with more than enough space for the four of us. Would definitely stay here again if I came to Naples.,2
Fantastic 26h at Naples,50,Date of stay: July 2019,Unfortunately we could only stay one night. But we enjoyed our 26h stay at Naples to the maximum thanks to hotel Romeo and the staff. The location is in walking distance of most of the city highlights and the view from our room or from the rooftop swimming pool on the Vesuvius is great. The staff gave us fantastic tips on where to eat (their own Michelin starred restaurant was closed as it was a Monday evening). Our lunch at the hotel was the best pasta we had during our stay in Italy and the breakfast buffet is great. When I go back to Naples I definitely will go to Hotel Romeo.,104
Romeo is the beast,50,Date of stay: July 2019,"This hotel is great. It’s a fantastic location, great bar and pool, great restaurant. Service is excellent. The spa was a relaxing respite after a long day of travel. We will stay here again absolutely.",1
Modern Gem Steps from the Hyrdofoils to Capri and Ischia,50,Date of stay: July 2019,THE place to stay in Napoli. Fabulous location and easy to visit Amalfi Coast locations and Naples. Beautiful hotel with a modern aesthetic. Loved it! Fabulous bar and rooftop pool. Also offers a Michelin star restaurant. Can't wait to return and stay here again.,8
Stylish Modern Hotel overlooking the port,40,Date of stay: July 2019,"Boutique style hotel with lovely bar / restaurant views out over the Bay of Naples. Friendly, helpful staff and an outstanding restaurant experience. Rooms are a little on the small side with insufficient space for baggage. Stylish shower wet rooms have insufficient towel hanging space and annoying movement sensitive lighting which leaves shower room in darkness after a few minutes (I was still in shower!) Overall, the style of the establishment, the food quality and the friendly, professional staff made for a very enjoyable stay. As befits the nature and quality of the service it is expensive.",18
Style over substance,20,Date of stay: July 2019,Not up to usual mr and mrs Smith standard. Mediocre Rooms less than adequate. Understandably rooms not as website suggests and comments about hotel accurate. Service at front desk excellent on arrival and during our stay. 9th floor restaurant maitre d rude and although a lot of staff very poor service. Waited 20 mins to even be offered a drinks menu and when I asked to order I was told all waiters very busy on the floor. Room mediocre. Room service poor. Turn down service is clearly limited to literally turning down bed covers! Bathroom left untouched and unserviced even from the day with toothpaste marks still remaining and towels adrift. This is by no means a 5 star hotel. Far from it. Very very disappointing.,117
Modern hotel in tough city,40,Date of stay: July 2019,"Best hotel in the city. Not a city I would want to visit again and there are very few decent hotels here, so if want at least 4 star plus then this is a good option. Staff are generally very helpful. Ok restaurant and small outdoor pool area, which was very popular during our stay - albeit absolutely no service at the pool unless you go looking for it. Beautiful day spa in the basement of the hotel. Interesting lobby area with table games. Unfortunately we didn’t notice until the last day - the hotel amenities were not pointed out to us on arrival. Staff were very helpful in providing information to get around the city.",10
"Insanely rude service, worst hotel experience of my life.",10,Date of stay: July 2019,"Booked my stay through Amex to get the FHR benefits but upon arrival, Phiippo and Slvia (the two people working the front desk) told me that my reservation was booked through Expedia, a total lie. I presented them with proof (written Amex confirmation) that the reservation was in fact booked through Amex and they didn't care, said that all that mattered was their online system (which of course only they can see and control). After a lot of insistence, they finally agreed to include breakfast in the rate making it seem like a huge gesture on their part, but said the upgrade wasn't possible due to no availability (when in fact the hotel showed plenty of availability online to the next room category), another lie. When I confronted them and showed them the availability, they got…",1
Not a five star hotel,40,Date of stay: July 2019,"This is not a five star hotel, it is a four star hotel. This is because the room especially the bed is quite small, not possible to accommodate an adult and the spa snd rooftop pool are quite small. Overall, facilities do not suffice to accommodate a hotel of this size. There were less than ten chairs aroubd the pool and the pool can accommodate at most ten people but thete are at least 100 rooms so at least 200 guests in the hotel. On the plus sude, the room and the spa look very modern, staff is friendly.",32
Modern Hotel Busy area,40,Date of stay: May 2019,Hotel was very model and well appointed.All the staff was very friendly and nice.The rooms were very nice well appointed and spacious.This was a very busy area of naples with a lot of road repairs going on which was not nice.Hotel service needs a lot of improvement.It took 5 calls and over an hour to get my complimentary water.Breakfast restaurant was nice with nice views and very good service.But there was hardly any vegetarian food.,80
Modern Italian touch!,50,Date of stay: June 2019,"We have choiced Naples for a weekend stop before reaching Sicily. Having already been in that area last year, in Sorrento and Capri, wanted to visit better the city itself. Romeo hotel is not nicely located, close to harbour but not far from downtown. Walking in the surrondings of the hotel is not a good choice, but the hotel itself is perfect and in less than 15 minutes you are in the city centre. Hotel is modern with high tech design elements. It offers multiple bars, rooftop restaurant and pool, and a gym and spa (very expensive but extremely nice). Good buffet breakfast, with lots of delicious and some extra plates you can order free of charge. Very comfortable king size bed, modern walk in shower, very elegant details and toiletries. Wood, glass and leather everywhere:…",2
Last stop on our way up the coast before flying home,40,Date of stay: June 2019,The Romeo hotel is a very nice four-star business type hotel although was perfectly fine for our last day on our trip up the coast. Although we stayed two nights to take in some of Naples in the end weregretted not just doing one night before our flight out. Not that the hotel itself had any issues. But Naples is a bit industrious crowded quite dirty and not much to see or do although we did find a cute restaurant within a five minute walk that had fantastic local seafood. Antonio’s The room your hotel had updated very Asian designer feel the staff was accommodating and friendly. The free breakfast buffet was a nice touch although mostly sugary carb type foods out when I asked for the smoke salmon that was on the all a cart menu they brought us a nice plate and had it…,36
"Hotel itself is 5 star, Staff is 3 stars",40,Date of stay: June 2019,"Hotel itself is amazing. Michelin restaurant on the top floor, 3000+sq ft gym with free weights, machine and cardio. Location is in the port so great for cruising to Capri or taking a car to Pompeii. Rooms are very modern and well built. Clearly the owner or owning group of this hotel knows a high quality product line. Where this hotel goes downhill is it's staff which is actually disappointing as owners work so hard to build something just to have the face of the company (staff) compromise the quality. Staff was often rude, pompous and unresponsive. We emailed several times, once about the spa and the availability in which case we did not receive a response and again about the $7000 credit card holds during our stay there which they disputed even after I showed them the…",2
Great spot in Naples,40,Date of stay: May 2019,"We booked a corner suite which had a great view of the harbour and Bay of Naples with all the ships coming and going. The room was large, well appointed and very comfortable. The hotel is very modern with clean lines. Breakfast in the morning was in a lovely room with another great view of the harbour. Walking distance to the ferry terminal and the castle. Staff was very helpful and friendly. The bartender in the lobby bar was great, Nicola, was lovely very interesting to speak to - and made a great Negroni! The wine cellar is gorgeous!",132
Amazing stay in Napoli,50,Date of stay: June 2019,"From the second I arrived, I could tell the quality of the hotel. A friendly greeting and smooth check in. The kind lady on reception showed us to our room and how everything worked. The room itself was amazing and had all the small touches an excellent hotel should have; water and charging port right near the bed, the most comfortable pillows, robes & slippers, which I might add is not a luxury found in many Italian hotels, and all the other amenities you could imagine. This place is a haven in a busy city and definitely whilst travelling through Italy. It’s right beside the port and had a metro link a few minutes away. The pool was small but cute and had a view of mount Vesuvius. Wouldn’t think twice about staying here again, loved every second and didn’t want to leave!",23
Great place to stay in Naples,50,Date of stay: June 2019,Everything about this hotel is super impressive. They obviously put a lot of work into their decor because it's all very modern and cool. The restaurant has a great view and the pool was really nice. I wish the pool was bigger but given the space constraints it made sense. The staff was friendly and helpful. When we needed a cab it was there in less than two minutes! Naples is a wonderful city and the hotel is very centrally located. I would definitely stay here again.,1
Helpful staff who went out of their way,50,Date of stay: May 2019,"My husband and I stayed here on our honeymoon, which was our first three nights being in Naples. We loved our Wellness Suite. It was absolutely beautiful, with a nice sitting area and fireplace. The furniture was clean and modern and there was ample closet space for our belongings. We also had a beautiful jet tub, along with the listed amenities (sauna, steam room and a private toilet room). The drinks, food and views were also to be commended. The decor had such amazing personality, as well. Please stay at the hotel that doesn’t let you down. The most important aspect of our stay, however, was the service. You see, the second day we arrived (Saturday) I broke my foot. This is not happen on the property. I ended up awakening in excruciating pain in the night and my husband and…",31
Lovely Naples hotel.,50,Date of stay: June 2019,Very good all round experience. Concierge desk was excellent. The spa was very good. Restaurant facilities excellent.Disappointed that there was no mention of the extremely ugly warehouse blocking our view of the harbour!,4
This hotel was excellent!!!!,50,Date of stay: June 2019,I was beyond happy with this hotel!!! So beautiful!!! It was extremely relaxing and gorgeous!!! So close to the port! Literally walked across the street and got on the ferry to the beautiful Capri!!!! Truly a beautiful hotel and staff!!!!,2
"Nice staff, nice restaurant, bad everything else",20,Date of stay: June 2019,"Very nice staff, and quite a good Michelin starred restaurant with a wonderful wait staff. But that's about it. The decor of the hotel is kinda cool, if it was still 1989. However, the rooms are HORRIBLY designed...from the non-functioning AC (and forget trying to read the ridiculous directions); the weird motion sensor lights in the bathroom that go off while you're showering; the inexplicably complicated light switches; the shallow sink that causes water to splash out everywhere; to the fact that the shower door opens flush to the floor, which means you can't put a bath mat down because the door just sweeps it away. AND YET, even then this place would be passable, but for the FILTHY shower stalls that had MOLD and SOAP SCUM. Housekeeping is clearly not well-managed! IMO,…",5
Was treated with disrespect,10,Date of stay: May 2019,"I was travelling as a single woman and I felt like I was treated with disrespect at this hotel. They kept calling me Mrs. and I had to correct them. They thought being single was an insult... As a physician, my vacation time is more valuable to be spending at such places... Wishing them significant improvement!",327
Naples for a 50th Birthday,50,Date of stay: May 2019,"A short trip for my wife's 50th, heading out to Pompeii and the Amalfi Coast using Naples as a base, we decided upon the Hotel Romeo as being near to everything within Naples that we wanted to see and our experience of the Hotel, its staff and the amazing Il Comandante restaurant were nothing short of exceptional, the restaurant was worth the visit alone. The room we had was a deluxe double with a decent sea view, not that we were in the hotel too much as there was too much to do elsewhere, the room was very clean and tidy with everything we needed. We had great service from all the staff we met who were friendly, kind and courteous which made our short stay even better and we had a memorable stay for my wife to look back on for this special birthday.",1
Definitely the best hotel in Naples,50,Date of stay: May 2019,My family stayed here for an evening after the Amalfi Coast. It was a beautiful hotel with great decor and a kind staff. It was conveniently located to Old Town and had a lot of walkable attractions. We had a two bedroom suite and it was stunning. I would definitely stay here again. Only comment is that they made the photos of the pool look much larger than it is. It is a really small space so don’t expect to make a day out of that.,226
"Beautiful, classy and unique hotel",50,Date of stay: May 2019,"Wow, what a refreshingly unique hotel. I was with group and we were warmly welcomed into the beautiful lobby with some refreshments and pastries. Then I got to the room and found a lovely hand written note with some decadent chocolate. Each day they even had a different treat waiting for me. They even had turn down service and they placed slippers by the bed. The room was very modern, but classy too. The bed was very comfortable and I slept well. The one very small complaint was I struggled a bit with the lights and other switches. For instance the drapes were on a motorized system and the controls were by the bed. But if that's my only complaint, then they're doing well. The breakfast was very nice and filling with a beautiful presentation. The location was good as you…",36
Odd location but the spa is worth the stay,40,Date of stay: May 2019,"I booked this hotel based on the fact it has been nominated as a Mr & Mrs Smith Hotel, a brand I trust and rarely lets me down. I can see why this has been nominated as such - in a chaotic city like Naples, there aren’t many boutique options and I’m sure this is probably one of the best of the bunch. However at more than £350 a night it is certainly punchy considering other options which are more central. If you want to stay one night in Naples and consider being close to the port (Molo Beverello) an advantage, then it’s a good option. The spa is really excellent. However the rooms are modern but not sleek, quite dark and the port area isn’t great after dark. For the money, you could stay over in the fancier Chiaia district and be in the heart of it all. Having said that the…",150
Brilliant luxury in chaotic Naples,50,Date of stay: May 2019,"A stunning hotel, sleek and modern. Very comfortable beds and great service. We liked the location based on proximity to metro, one stop from train station, and about a 20 minute taxi to airport. It was in a good area for walking to popular bars, restaurants, and a promenade area that we visited both nights of our stay. You can see Mount Vesuvius from harbour view rooms, bar and pool.",95
Modern Hotel in Ancient Naples,40,Date of stay: May 2019,"I chose the Romeo for its nearness to the ferries going to Sorrento as I had planned a day excursion. But I chose it also for its commanding views of Mt. Vesuvius and Capri, both of which I could see from my waterfront room. The weather was overcast dimming the views, but the design and comfort of the room made up for this disappointment. The staff in all areas we used were extraordinarily gracious and helpful. Breakfast was a delight.",77
Convenient for One Night,50,Date of stay: May 2019,"This hotel was conveniently located for us taking a Ferry into town, and was an easy walk to the airport shuttle the next morning. Bonus: the shuttle was quiet and everyone that got on at the port got a seat, and on board (vs the train station guests, some of which were told the bus was full). The hotel staff were lovely and were able to help us with everything we needed. We enjoyed the perks of booking directly through the hotel - free access to the spa downstairs and a treat in the room. We were on our honeymoon, and enjoyed the bottle of Prosecco they brought up! The only negative was that housekeeping came to knock on our door quite late (10 PM) when we were already in bed before our morning flight. However, for a one night stop over, I would return to this hotel.",18
Odd experience,30,Date of stay: May 2019,"Ours was a one night stopover before catching our flight home. The hotel is in an odd location overlooking part of the docks - not a particularly pleasant area. The foyer was large with some interesting water features, but the actual reception area was small, with barely enough space for a couple of customers at a time. Our room was on the third floor, and a very helpful member of staff explained it's features. It was of adequate size for an overnight stay, but it had very odd bathroom arrangements. The bathroom area was all frosted glass with sliding doors which separated it from the sleeping area. The lights were automatic on some sort of movement sensor, but the time delay was quite short, so they kept going off before you were ready. Not a problem most of the time, but could…",40
Cannot recommend,20,Date of stay: May 2019,"A disappointment because an article of clothing left behind in a room could not be retrieved even after one night. Housekeeping should have been able to find a black pair of pants, but after phone calls and emails, we have heard nothing. Very disappointing.",3
Good as usual,50,Date of stay: May 2019,"Fifth time in hotel. Hotel become better and better each time. They read our reviews) perfect staff, very good breakfasts with nice Vesuvius view. Very close to port to travel to Amalfi,Sorrento, Capri",42
Lovely refuge in a gritty city,50,Date of stay: May 2019,"I had a relaxing stay at this property. Perks included the rooftop pool, solid gym facility and breakfast with a view. The one annoyance I can point to are the automated lights in sections of the rooms. One can't make a trip to the bathroom without triggering bright lights that illuminate the entire room because the bathroom ""walls"" are glass. Who thought of that one? And the AC didn't have an auto setting, which made it hard to regulate. Either it was on or off.",41
Short visit in town,50,Date of stay: May 2019,"I visited Napoli because I was looking for a sunny escape. Well the weather wasn’t that warm but the people and the city are warm enough! Nice escape in the south. La città ha tante sfaccettature, la zona del porto non è tra le più curate o belle però appunto tutto attorno è invitante.",6
Short overnight stay,40,Date of stay: May 2019,On out way to the Amalfi coast. Location feels weird at first ( facing a run down warehouse) but turns out to be convenient to walk around the city as well as to get to/out of when visiting the region. The room ( junior suite corner harbour view) was nuce and well appointed. The bed was very good.Service at breakfast was not great. Long wait and pear juice never came. The worst part was the valet parking. We waited 35 mns to get our car and we realized when we parked again it had been scratched.. Not great.,1
the worse 5 star???? Hotel we have ever stayed at,10,Date of stay: May 2019,"Booking the hotel room we anticipated sea views, balcony and a spaciuos room. None of which were on offer. Hugely disappointed. We paid 360.00 euros for 1 night in a room situated at the back of the hotel with a view over looking a dissuesd building and massive metal tower which I assumed was some form of communication pole? However when I complained to the receptionist who showed us the room he tried to justify our rate paid only warranted this type of room and of course they were fully booked so apparently couldn't move us but offered that should we wish to leave we wouldn't be charged. Due to the lateness of our arrival we had to stay but with a heavy heart? The facilities on offer were a 2 hour window in their spa. I had to halt one treatment as the therapist had a really…",22
Wonderful!,50,Date of stay: April 2019,"Beautiful hotel, great location, great restaurant, wonderful service. We stayed only 1 night but wished we had stayed longer. We ate breakfast & dinner in the restaurant on the 9th floor - very nice experience and very good views. Rooms were roomy, clean and well appointed.",13
Comfy stay in Naples,40,Date of stay: April 2019,The location of the hotel is perfect if you traveling around the area and taking ferrys. Its not a picturesque view so I wouldn't choose a room based on that. We stayed with 2 kids in one room and it was a bit tight however the hotel was nice enough to add an extra roll out bed. Breakfast is very nice and has something for everyone.,43
The Arsenal supporters group..,50,Date of stay: April 2019,"We stayed for two nights and received superb service from the moment we were met from or car at the roadside. Good humoured, polite and efficient staff at the door, the reception desk, speed of luggage delivery, in the bar and in the roof top Michelin stared restaurant where we were wowed by the 8 course tasting menu with wine flight. Not inexpensive but simply wonderful. Comfortable, well equipped rooms completed the package. We all had a fantastic time at the Romeo ...... and Arsenal won!",7
Amazing hotel,50,Date of stay: April 2019,"This was one of the best hotels I’ve stayed at. The workers, spa, bar and pool were well beyond average. The location is right on the water next to the ferry line and multiple restaurants. I would highly recommend this hotel for your stay in Naples!",2
Dissapointed,40,Date of stay: April 2019,"A lovely looking hotel with views to the port, it's not in a particularly nice position,quite an industrial looking area, there are nicer places to stay and since been back the nicer areas are no more expensive, the staff here are great, reception staff really helpful,the restaurant staff were great and Antonio in the lobby had was fantastic, it lived up to its 5* rating but in other ways it lets itself down, 3 light bulbs out in room, on our first night we got back to our room about 10.30ish to find we couldn't get into our room, I sent down to reception to report this and was immediately escorted back to the room by the gentleman on the desk, it turned out that the lock was shattered! Which was quite worrying as this must have taken some force, we were told this happens!, we…",50
Amazing,50,Date of stay: September 2018,We had an amazing stay at the Romeo hotel. Its stylish and offers a rooftop pool with jacuzzi with harbour views. The staff was nice and the breakfast delicious. Our room was big and everything is very modern with well picked interior. Whenever we are in Naples that is the place to stay for us.,251
Romeo was excellent,50,Date of stay: April 2019,"Loved our stay at Romeo in Naples. The whole experience is pretty funky and interesting but at the heart of it is a well managed hotel which caters to every need. We found the concierge staff amazing and were all over places to see, dinner reservations, travel bookings and general assistance. The guy (sorry I don’t know your name) who managed the arrival/departure process was amazing, always helpful throughout our stay.",1
Girls trip,50,Date of stay: April 2019,"We went to Naples for a mother/daughter trip to see Pompeii & Naples. Our room was comfortable & clean. Unfortunately we couldn't get the rain shower to operate but the hand held shower was fine. The restaurant was lovely, in particular the fish. Staff were very helpful and friendly and speak English very well. The location is handy to the port for visiting The Amalfi Coast & Capri. Most points of interest, cafes, reastaurants & shops are about a 15 min walk.",4
Oasis in Naples!,50,Date of stay: March 2019,"This hotel was my favorite part about staying in Naples! Naples is not my type of city. Crossing the street was stressful, there was trash everywhere and there is tagging on all the buildings. I see great bones in the city, but somehow things have not been maintained. The one reason to visit Naples is to eat pizza and tons of it! If you do decide to stay in Naples like we did, this hotel is where you should stay. The hotel is close to a subway and was easily walkable to many sites. The hotel was clean, with great facilities and staff. The staff was helpful in making reservations and suggestions for sightseeing. The food was great. Breakfast was my favorite part of the day. The breakfast is served on the 9th floor with a nice view of the harbor. There was also a pool…",18
Paradise in Naples,50,Date of stay: March 2019,From the moment we arrived - we knew we had selected the perfect place !! Romeo is a gorgeous hotel and the staff were AMAZING !!!! They did everything to accommodate any assistance or requests we had during our stay- they were just exceptional!,6
Finest Hotel!,50,Date of stay: March 2019,"One of the finenest hotel I have been, the area is no pretty but the hotel is gorgeous and very thing you want to see is behind, best gym ever seen in a Hotel, fantastic interior decoration and the personl very helpful and kind",1
25th anniversary long weekend,50,Date of stay: March 2019,"We enjoyed the hotel and the staff. Your evening doorman was very helpful and gave us great recommendations for restaurants. The spa was excellent and your Michelin starred resuaurant was very good. Our only concern: your wi-fi is terrible. We had to sit by the door of our room to get any reception, there is no excuse for this in 2019.",3
Beautiful hotel,50,Date of stay: March 2019,"We had a splendid time in this beautiful place . Fantastic spa ! We loved the design and atmosphere of all the different places in the hotel , from reception to various bars and restaurants. Outside pool is wonderful.",9
"Not exactly 5 star, dated ""modern"" hotel",20,Date of stay: April 2019,"Good points: friendly staff, good food at restaurants (only had breakfast and dinner at their rooftop/pool restaurant, not the Michelin star restaurant); rooftop pool is more of a small plunge pool/hot tub, but nice asset but likely crowded during summer (so small). Not good: hotel rooms are frankly dated, not modern. Lighting system is a joke - if you want to be 'modern', install ""smart"" ipad-like functionality. There needs to be electrical outlets at bedside, not below the bedside table (this is basic, not ""5-star""). The bathrooms are not 5-star: too cramp, awkward ""see-through"" doors. Poor, poor, poor lighting - 5-star hotel 101: lighting is key!! Our breakfast came with room rate, but other guests told us the cost was 30-40 Euro - sorry, not worth it. The worst:…",5
Well below standard,10,Date of stay: April 2019,"Breakfast was terrible, served the usual trays of baked sausages and ""bacon"" couldn't even scramble an egg properly, they were split and grainy in the tray. The sauna in the wellness room didn't work properly and barely got over 25°c no sound proofing in the rooms either so using the blue tooth stereo system was pretty much out of the question. The steam shower was clearly in need of maintenance too, it made the whole room smell of rotten eggs whenever the steam function was turned on. Plus the location of the hotel is appalling, its right outside the ferry docks so all you can see of the harbour is great ugly ferries and a tonne of traffic with the industrial port right next to it. So cranes and storage containers everywhere. It was too dark in the hotel to boot, everything was…",2
Perfection,50,Date of stay: April 2019,"I cannot lie, I’m a little spoilt and I like a bit of luxury- this hotel did not disappoint. All weekend I kept asking “how would I fault this hotel” and I couldn’t find anything! We stayed in the wellness room, which was impressive in size and facility. It was like having our own apartment. It is the hotel that keeps on giving, with loads of little freebies eg. Soap, shampoo, pens, chocolates, hand cream, lip balm, slippers, and the tiny attention to detail was so impressive, ( we even joked that every day was a brand new toilet roll - covered in the Romeo hotel covering) The cleaning of the room was second to none- and I am picky! Service was spectacular, friendly and efficient. I loved the decor and all the quirky gadgets. It was hi tec and had a real feel of 5 star…",23
Modern high quality but,40,Date of stay: March 2019,"Stayed 4 nights with the family. Got a J suite and another room. The hotel is ultra modern but being that the maintenance has since failed to keep up the systems. The bathrooms have automatic sensors and when you get into the shower the lights turns off after a while... the bath in the J suite takes ages to fill up as no water pressure, the curtains automatic but probably have not been services and oiled as they should. The breakfast is great, the stuff is super helpful and attentive and the lobby, the breakfast room and the restaurant are impressive so with a little effort re maintenance they can be much better.",150
mini break,50,Date of stay: February 2019,"The hotel was wonderful, incredibly friendly and helpful staff - had a terrific stay. We enjoyed the space and the facilities. Concierge was great for dinner recommendations. The location made it easy to get the boat to go and visit other islands.",1
Your restaurant,20,Date of stay: February 2019,"Two days in advance we asked for a table in the front row. We were told that this is im possible. In the evening other costumeres refused a table in the second row, they then got a table in the front row. We have noted this as strange habibts for hotel guests. We were also disturbed by other guests who were smoking. Your restaurant cannot be recommended,",1
Lovely Stay in Napoli,50,Date of stay: November 2018,"We had a lovely stay at this hotel. We had a view of the water and Vesuvius. Granted the immediate waterfront is not as scenic, but we enjoyed our view. It was an easy walk to the ferry, which we took to Sorrento. The area immediately around the hotel was very clean and felt safe. The staff were friendly and very helpful. The food recommendations were great. We also enjoyed an evening in the spa, which was incredibly relaxing.",10
"Beautiful spa, friendly employees, good food",40,Date of stay: February 2019,"Romeo Hotel really earns its ""five-star L"" rating. Employees are well-trained and very helpful. While we did not eat at the top-floor restaurant (the menu wasn't attractive to us: beef testicles, etc.) we did enjoy the food and views at Beluga. The lobby bar is skillfully manned in the evenings by Antonio, who was always a pleasure. One minor irritant in the room was a glass-walled bathroom with a bright motion-activated light. This basically turns the bathroom into a giant lantern when anyone uses the bathroom at night. It lights up the whole room, and can really disturb your sleep. Another oddity was the lack of air conditioning. True, we were there in February and one would expect that AC wouldn't be a necessary amenity in the cold weather. However, our room was…",70
Stunning Luxury and Elegance,50,Date of stay: March 2019,"This is my 2nd visit to this hotel. Staying in a different room type. Previously a Corner suite this time a front facing room. Both are amazing and the space in the room is ample for 2 travellers with large cases. The staff are quick very helpful. Both times we have contacted the hotel for help on excursions prior to arrival and they more than helpful. Everyone can speak English which is helpful. The decor is the best feature the waterfall in reception, the lovely flavoured water and small cakes available all the time. Bars great. Can't wait for a 3rd visit. But the quriky bits of art are the best like staying in a gallery.",25
Long weekend in Naples,50,Date of stay: February 2019,"Everything about this hotel was amazing! Located across from the harbor area with a view of Mt. Vesuvius and Capri, this luxury boutique hotel is only a few minutes walk from the old city and many of the city's sights. The interior is modern and inviting with Japanese inspired design elements, and offers multiple bars, rooftop dining and pool, and a gym and spa (we did not eat at the restaurant or enjoy the spa or gym). The breakfast buffet is very nice, offering views of Mt Vesuvius and with coffee and eggs made to order. We booked a deluxe room with a harbor view, which was roomy and comfortable with a king size bed and walk in shower (the bathroom design is a bit queer in that you must walk through the toilet room to access the shower). All of the exceptional staff are…",154
Good but could be great.,40,Date of stay: February 2019,Your staff needs to learn from other five star hotels about being accommodating to guests. NO is never the right answer. And lighten up a bit. Everyone wants to have fun. Room was very nice but frankly noisy. Freaks and cracks and the lighting while unique is difficult to control and turns off automatically too soon. The timing needs to be adjusted.,2
Best in Naples,50,Date of stay: February 2019,"Location a little off centre but you can still walk around - Romeo is still best in Naples by far A bit overpriced for what you get though, for a winter low season rate I was surprised at the costs. The quality and interiors is much higher standard than most other Naples hotels",13
Gem hidden in plain sight,50,Date of stay: February 2019,"Boutique hotel in harbor.. unusual microlocation, off the main Napoli atractions or neighborhoods, but close to all the best places. Most importantly, gorgeus little hotel with artworks in the lobby, cigar room with best ventilation ever, amazing cactuses colection arround the hotel and on the bar/pool area... View of Vesuvius in the morning from the room, restaurant and the pool... But best of all, amazing staff eager to make you feel welcomed and ready to explain all you want to know about the place, city, culture, cuisine.. from doorman to restaurant staff, management, room service... all in all, must stay place when in Napoli :)",9
amazing birthday holiday,50,Date of stay: January 2019,"The hotel has been highly recommended to us by a good friend Mr. Francesco Lo Regio from Hilton Lake Como. Wonderful experience from the first moment I reserved the Hotel. Willing to help for any inquiry, fulfilled every wish. My husband celebrated his birthday upon arrival we have been honored by an upgrade. A cake with birthday candle has been brought to our room. The staff is excellent beginning from the ladies in the guest relations deparment, Aura and Sara. The staff at the reception Luca, Tina, Alehandro, Fillipo and the staff in during breakfast time especially Francesco!!! For sure we'll return to this elegant hotel, with the amazing decoration all over the place , we have been honored to receive a book with all the decorations. We already miss you all. Iris & Jakob…",4
